出租方式,户型,建筑面积,层数,低层,中层,中高层,高层,超高层,楼,朝向,装修,地址,字段9,字段10,字段11,字段12,字段13,字段14,字段15,标题,价格,字段25
整租,2室2厅1卫,60,6,1,0,0,0,0,中,东西,中装修,安宁区安宁东路培黎广场以东100米,床,电视,,,空调,热水器,,房源编号 331448975,1500,"车辆厂家属院
                            (安宁区/培黎广场)"
整租,1室0厅1卫,46,25,0,0,0,1,0,低,东,中装修,火车站广场向西200米,床,电视,,,空调,热水器,,房源编号 331356754,2400,"海天新都
                            (城关区/火车站)"
整租,2室1厅1卫,120,33,0,0,0,0,1,中,暂无,中装修,城关区秦安路144号,床,电视,,,空调,热水器,,房源编号 331377464,4200,"秦安路三中家属院
                            (城关区/东方红广场)"
整租,1室1厅1卫,57,32,0,0,0,1,0,低,南,中装修,安宁东路369号,床,电视,,,空调,热水器,,房源编号 331448948,2000,"中和教育世家
                            (安宁区/培黎广场)"
整租,1室2厅1卫,72,33,0,0,0,0,1,高,暂无,中装修,安宁东路369号,床,电视,,,空调,热水器,,房源编号 331309939,1800,"中和教育世家
                            (安宁区/培黎广场)"
整租,2室2厅1卫,110,30,0,0,0,1,0,中,南,精装修,西路机床厂对面,床,电视,冰箱,洗衣机,空调,热水器,暖气,房源编号 327026915,3000,"加莱印象
                            (安宁区/刘家堡)"
整租,1室1厅1卫,50,8,1,0,0,0,0,低,南北,中装修,西津西路250-366号,床,电视,,,空调,热水器,,房源编号 331294510,1100,"兰石二分厂家属院
                            (七里河区/西站)"
整租,2室2厅1卫,96,32,0,0,0,1,0,高,南北,简装修,雁滩黄河大桥向东800米,,,,洗衣机,,热水器,暖气,房源编号 329045541,2500,"鸿运润园
                            (城关区/雁滩北)"
整租,1室1厅1卫,62,9,0,1,0,0,0,高,暂无,精装修,吴家园98-130号,床,电视,,,空调,热水器,,房源编号 331147177,1700,"嘉城小区
                            (七里河区/西站)"
整租,2室2厅1卫,80,9,0,1,0,0,0,高,南北,中装修,南滨河东路713-717号,床,电视,冰箱,洗衣机,空调,热水器,暖气,房源编号 331440013,2500,"山字石省人寿保险公司家属院
                            (城关区/西关什字)"
整租,2室2厅1卫,95,20,0,0,0,1,0,低,东北,精装修,雁滩雁兴路116、130、124路车终点(天庆花园东,床,电视,冰箱,洗衣机,空调,热水器,暖气,房源编号 327852312,2600,"基业豪庭
                            (城关区/雁滩北)"
