出租方式,户型,建筑面积,层数,楼层,朝向,装修,地址,床,电视,冰箱,洗衣机,空调,热水器,标题,价格
整租,2室2厅1卫,110,18,低层,8,3,静宁路十字澳兰名门东侧,1,1,1,1,1,1,房源编号 309628153,4500
整租,2室2厅1卫,94,26,中层,8,4,雁滩大桥向东，鸿运润园东侧,1,1,1,1,1,1,房源编号 308829494,4000
整租,2室2厅1卫,110,9,高层,10,3,一只船南街100号,1,1,1,1,1,1,房源编号 308668102,2900
整租,2室1厅1卫,71,8,中层,10,3,段家滩路1265-1517号，五里铺桥北(原灯泡厂院,1,1,1,1,1,1,房源编号 307350377,2000
整租,2室2厅1卫,115,19,高层,暂无,3,民主西路7号,1,1,0,0,1,1,房源编号 309215452,4600
整租,1室0厅1卫,41,25,高层,暂无,3,火车站广场向西200米,1,1,0,0,1,1,房源编号 309221881,2000
整租,3室2厅2卫,210,33,中层,10,3,兰州市东岗西路469号,0,0,0,0,1,1,房源编号 306806589,12000
整租,2室2厅1卫,100,6,高层,10,3,滩尖子84号,1,1,1,1,1,1,房源编号 306586911,2300
整租,2室2厅1卫,110,9,高层,10,3,一只船南街100号,1,1,1,1,1,1,房源编号 308667677,2900
整租,2室1厅1卫,97,10,低层,8,4,段家滩路1265-1517号，五里铺桥北(原灯泡厂院,1,1,1,1,1,1,房源编号 307155725,2600
整租,3室1厅1卫,70,7,高层,9,2,民主东路93号,1,0,0,0,0,1,房源编号 306555779,2600
整租,2室2厅1卫,115,19,高层,8,3,民主西路7号,1,1,0,0,1,1,房源编号 308768704,4600
整租,2室1厅1卫,80,33,低层,暂无,3,和政路东街189号,1,1,0,0,1,1,房源编号 308701251,3000
整租,2室2厅1卫,97,34,中层,5,4,和政路东街189号,1,1,1,1,1,1,房源编号 308768912,5000
整租,2室2厅1卫,110,9,高层,10,3,一只船南街100号,1,1,1,1,1,1,房源编号 308667351,2900
整租,2室2厅1卫,100,32,高层,8,3,铁路局邮电大楼附近,1,1,0,0,1,1,房源编号 309432110,4300
整租,1室0厅1卫,41,25,高层,8,3,火车站广场向西200米,1,1,0,0,1,1,房源编号 309431854,2000
整租,2室2厅1卫,104,32,高层,暂无,2,"原和平饭店西面（东临天水南路,南临和政路）",0,1,0,0,0,1,房源编号 309432057,3200
整租,3室2厅2卫,155,33,低层,暂无,4,和政路东街189号,1,1,0,0,1,1,房源编号 309432084,6500
整租,2室2厅1卫,96,34,低层,暂无,4,旧大路257号附近,1,1,1,1,1,1,房源编号 308701516,3600
整租,2室2厅1卫,100,32,高层,暂无,3,铁路局邮电大楼附近,1,1,0,0,1,1,房源编号 308701434,4300
整租,2室2厅1卫,107,8,高层,暂无,2,火车站西路力行新村3号,1,1,0,0,1,1,房源编号 308701466,2600
整租,2室2厅1卫,98,8,高层,10,4,嘉峪关南路591号,1,1,1,1,1,1,房源编号 307148380,2300
整租,2室2厅1卫,83,26,高层,7,4,城关区青白石街,0,0,0,0,0,0,房源编号 306401225,1700
整租,1室1厅1卫,53,30,中层,5,4,城关区青白石街,0,0,0,0,1,1,房源编号 305990996,1500
整租,1室1厅1卫,45,30,高层,6,4,城关区青白石街,0,0,1,1,0,1,房源编号 307622782,1600
整租,3室2厅1卫,107,24,高层,7,4,城关区青白石街,0,0,0,0,0,1,房源编号 307622806,2700
整租,3室2厅1卫,106,26,高层,10,4,城关区青白石街,0,0,0,0,0,1,房源编号 305991650,2300
整租,1室1厅1卫,45,30,中层,6,4,城关区青白石街,1,1,0,0,1,1,房源编号 308128523,1500
整租,3室2厅1卫,107,24,高层,7,4,城关区青白石街,0,0,0,0,0,1,房源编号 305991085,2900
整租,1室2厅1卫,69,6,低层,10,3,九州开发区（144路公交上坡处右边，九州信用社对面）,1,1,0,1,0,1,房源编号 309385226,1400
整租,2室1厅1卫,87,26,中层,10,3,区九州东坪台（五一山北）,1,1,1,1,0,1,房源编号 309385151,2700
